"","pc11_district_id","pc11_state_id","vcf_mean","year"
"1115",56,5,23.6887126602514,2015
"1135",57,5,20.7799846111433,2015
"1155",58,5,33.9397895682299,2015
"1175",59,5,32.470479970552,2015
"1195",60,5,27.2951048808358,2015
"1215",61,5,32.1330957369964,2015
"1235",62,5,19.3108220162524,2015
"1255",63,5,28.7504914291998,2015
"1275",64,5,25.0716059296514,2015
"1295",65,5,32.0676474219894,2015
"1315",66,5,32.6158678581099,2015
"1335",67,5,16.5818108578705,2015
"1355",68,5,15.5445813700616,2015
